ENTIDADE;PUBLICAÇÃO;Nº de páginas WORD;Nº de páginas estimado;Variação nº de págs estimado sobre nº de págs Word;COMPLEXIDADE;FORNECEDOR;DESCRIÇÃO;Nº DA PLANILHA; CUSTO TOTAL ;DATA DE ENVIO;DATA DE APROVAÇÃO;ANÁLISTA RESPONSÁVEL;SOLICITAÇÃO DE COMPRAS;PEDIDO DE COMPRAS;STATUS DE PGTO;NOTA FISCAL;DATA DE PGTO;Nº de páginas finais;Variação nº de págs do o Word sobre nº de págs finais;Variação nº de págs finais sobre nº de págs estimado;STATUS
CNI;Efeitos da gestão sobre a produtividade daas empresas;31;48;55%;Média;Editorar;Adaptação de projeto gráfico, editoração e finalização, gráficos e PDF interativo;233867;R$ 797,40 ;07/jan;13/jan;André;042260;186503;Pago;NF 731;22/03/2020;52;68%;-8%;Foram faturadas 52 páginas com complexidade média.
CNI;Programas de Ajuste;56;70;25%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização;233895;R$ 2.835,00 ;03/fev;04/fev;André;042387;186970;Pago;NF 737;22/04/2020;66;18%;6%;Foram faturadas 66 páginas. PAGA NO PERÍODO DA QUARENTENA.
SENAI;Manual para desenvolvimento de recursos didáticos;72;110;53%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, gráficos, tabelas e PDF interativo ;233885;R$ 6.959,68 ;07/fev;10/fev;Walner;---;341811;Pago;NF 750;22/05/2020;86;19%;22%;Foram faturadas 86 páginas.
SENAI;Metodologia SENAI de Desenvolvimento;50;80;60%;Alta;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, gráficos, tabelas e PDF interativo ;233886;R$ 5.008,64 ;07/fev;10/fev;Walner;---;341813;Pago;NF 751;22/05/2020;68;36%;15%;Foram faturadas 68 páginas. 
SENAI;Guia CT e QB;28;65;132%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, tabelas e PDF interativo ;233887;R$ 2.052,98 ;07/fev;10/fev;Walner;---;341814;Pago;NF 752;22/05/2020;46;64%;29%;Foram faturadas 46 páginas.
SENAI;Guia Customizado;24;48;100%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização, infográfico, tabelas e PDF interativo ;233888;R$ 1.905,90 ;07/fev;10/fev;Walner;---;341815;Pago;NF 753;22/05/2020;30;25%;38%;Foram faturadas 30 páginas.
SENAI;Guia Autoinstrucionais;10;40;300%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização por página e PDF interativo;233889;R$ 987,10 ;07/fev;10/fev;Walner;---;341816;Pago;NF 754;22/05/2020;20,00;100%;50%;Foram faturadas 20 páginas.
SENAI;Guia Adaptativo;22;45;105%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização e PDF interativo;233890;R$ 1.275,90 ;07/fev;15-Mai;Walner;---;341959;Pago;NF 763;22/06/2020;30;36%;33%;Foram faturadas 30 páginas.
SENAI;Guia Microlearning;12;35;192%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização por página e PDF interativo;233891;R$ 1.044,86 ;07/fev;15-Mai;Walner;---;341960;Pago;NF 764;22/06/2020;22;83%;37%;Foram faturadas 22 páginas.
SENAI;Templates;19;45;137%;Baixa;Editorar;Adaptação de projeto gráfico, editoração e finalização por página e PDF interativo;233892;R$ 976,62 ;07/fev;10/fev;Walner;---;341817;Pago;NF 757;22/05/2020;24;26%;47%;Foram faturadas 24 páginas.
